"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-03","2019","02","03","","-5.6","","-18.4","","-12.0","","30.0","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-04","2019","02","04","","4.0","","-7.7","","-1.9","","19.9","","0.0","","","","","","6.7","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-05","2019","02","05","","10.4","","-3.5","","3.5","","14.5","","0.0","","","","","","0.0","","","","30","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-06","2019","02","06","","-1.6","","-8.2","","-4.9","","22.9","","0.0","","","","","","0.0","","","","32","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-07","2019","02","07","","-2.4","","-6.7","","-4.6","","22.6","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-08","2019","02","08","","3.9","","-3.8","","0.1","","17.9","","0.0","","","","","","8.7","","","","24","","61",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-09","2019","02","09","","-2.7","","-11.0","","-6.9","","24.9","","0.0","","","","","","0.0","","","","29","","71",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-10","2019","02","10","","-5.7","","-12.2","","-9.0","","27.0","","0.0","","","","","","0.0","","","","29","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-11","2019","02","11","","-8.5","","-15.2","","-11.9","","29.9","","0.0","","","","","","0.0","","","","28","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-12","2019","02","12","","-4.1","","-16.4","","-10.3","","28.3","","0.0","","","","","","0.0","","","","31","","33",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-13","2019","02","13","","-5.9","","-11.6","","-8.8","","26.8","","0.0","","","","","","0.0","","","","7","","63",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-02-14","2019","02","14","","-3.8","","-16.8","","-10.3","","28.3","","0.0","","","","","","0.0","","","","26","","45",""
